id,domain,title,version,profile,method,relative_path,url,source_page,license,commercial_status,isolation,expected_scope,integrity,notes
"oewn_2025_plus","ontology","Open English WordNet","2025-plus","core","http","raw/ontology/open-english-wordnet/2025-plus/english-wordnet-2025-plus-json.zip","https://en-word.net/downloads/english-wordnet-2025-plus-json.zip","https://en-word.net/downloads","CC-BY-4.0","allowed-with-attribution","attribution","Lexical concepts and relations in JSON","local-sha256","Ontology seed; retain attribution."
"yago_4_6_schema","ontology","YAGO schema","4.6","core","http","raw/ontology/yago/4.6/yago-4.6-schema.zip","https://yago-knowledge.org/data/yago4.6/yago-4.6-schema.zip","https://yago-knowledge.org/downloads/yago-4-6","CC-BY-4.0","allowed-with-attribution","attribution","Clean class/property schema and SHACL","local-sha256","Keep versioned separately from facts."
"yago_4_6_taxonomy","ontology","YAGO taxonomy","4.6","core","http","raw/ontology/yago/4.6/yago-4.6-taxonomy.zip","https://yago-knowledge.org/data/yago4.6/yago-4.6-taxonomy.zip","https://yago-knowledge.org/downloads/yago-4-6","CC-BY-4.0","allowed-with-attribution","attribution","Class taxonomy","local-sha256","General ontology backbone."
"yago_4_6_meta","ontology","YAGO metadata","4.6","core","http","raw/ontology/yago/4.6/yago-4.6-meta.zip","https://yago-knowledge.org/data/yago4.6/yago-4.6-meta.zip","https://yago-knowledge.org/downloads/yago-4-6","CC-BY-4.0","allowed-with-attribution","attribution","Release and source metadata","local-sha256","Provenance support."
"yago_4_6_tiny","ontology","YAGO tiny sample","4.6","core","http","raw/ontology/yago/4.6/yago-4.6-tiny.zip","https://yago-knowledge.org/data/yago4.6/yago-4.6-tiny.zip","https://yago-knowledge.org/downloads/yago-4-6","CC-BY-4.0","allowed-with-attribution","attribution","Small end-to-end YAGO sample","local-sha256","Useful for ingestion tests."
"yago_4_6_stats","ontology","YAGO statistics","4.6","core","http","raw/ontology/yago/4.6/yago-4.6-statistics.txt","https://yago-knowledge.org/data/yago4.6/yago-4.6-statistics.txt","https://yago-knowledge.org/downloads/yago-4-6","CC-BY-4.0","allowed-with-attribution","attribution","Release counts","local-sha256","Scope audit."
"yago_4_6_labels","ontology","YAGO labels","4.6","assets","http","raw/ontology/yago/4.6/yago-4.6-labels.zip","https://yago-knowledge.org/data/yago4.6/yago-4.6-labels.zip","https://yago-knowledge.org/downloads/yago-4-6","CC-BY-4.0","allowed-with-attribution","attribution","Entity labels","local-sha256","Large optional YAGO module."
"yago_4_6_facts","ontology","YAGO facts","4.6","assets","http","raw/ontology/yago/4.6/yago-4.6-facts.zip","https://yago-knowledge.org/data/yago4.6/yago-4.6-facts.zip","https://yago-knowledge.org/downloads/yago-4-6","CC-BY-4.0","allowed-with-attribution","attribution","Approximately 167 million clean facts","local-sha256","Large optional YAGO module."
"qudt_3_2_1","units","QUDT public repository","3.2.1","core","http","raw/units/qudt/3.2.1/qudt-public-repo-3.2.1.zip","https://github.com/qudt/qudt-public-repo/archive/refs/tags/v3.2.1.zip","https://github.com/qudt/qudt-public-repo","CC-BY-4.0","allowed-with-attribution","attribution","Quantity kinds, units, dimensions, and conversions","local-sha256","Canonical unit/quantity vocabulary candidate."
"go_basic","biology","Gene Ontology basic","current-2026-08-01","core","http","raw/biology/gene-ontology/2026-08-01/go-basic.obo","https://current.geneontology.org/ontology/go-basic.obo","https://geneontology.org/docs/download-ontology/","CC-BY-4.0","allowed-with-attribution","attribution","Biological-process, cellular-component, molecular-function DAG","local-sha256","Mutable upstream URL; local snapshot and hash define the version."
"ncbi_taxonomy","biology","NCBI Taxonomy new taxdump","current-2026-08-01","core","http","raw/biology/ncbi-taxonomy/2026-08-01/new_taxdump.tar.gz","https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/new_taxdump/new_taxdump.tar.gz","https://www.ncbi.nlm.nih.gov/datasets/docs/v2/data-processing/taxonomy-processing/taxonomy/","LicenseRef-NCBI-data-policy","review-before-redistribution","review","Taxonomic identifiers, names, ranks, and relationships","local-sha256","Widely usable factual data, but retain NCBI and per-record provenance."
"ncbi_taxonomy_md5","biology","NCBI Taxonomy upstream checksum","current-2026-08-01","core","http","raw/biology/ncbi-taxonomy/2026-08-01/new_taxdump.tar.gz.md5","https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/new_taxdump/new_taxdump.tar.gz.md5","https://www.ncbi.nlm.nih.gov/datasets/docs/v2/data-processing/taxonomy-processing/taxonomy/","LicenseRef-NCBI-data-policy","review-before-redistribution","review","Upstream MD5","local-sha256","Use to verify the paired archive."
"chebi_owl","chemistry","ChEBI ontology","current-2026-08-01","core","http","raw/chemistry/chebi/2026-08-01/chebi.owl.gz","https://ftp.ebi.ac.uk/pub/databases/chebi/ontology/chebi.owl.gz","https://www.ebi.ac.uk/chebi/downloads/","CC-BY-4.0","allowed-with-attribution","attribution","Chemical entities, roles, relationships, and properties","local-sha256","Chemistry ontology spine."
"chebi_sdf","chemistry","ChEBI structures","current-2026-08-01","core","http","raw/chemistry/chebi/2026-08-01/chebi.sdf.gz","https://ftp.ebi.ac.uk/pub/databases/chebi/SDF/chebi.sdf.gz","https://www.ebi.ac.uk/chebi/downloads/","CC-BY-4.0","allowed-with-attribution","attribution","Curated chemical structures and properties","local-sha256","Full SDF snapshot."
"rhea_tsv","chemistry-biology","Rhea reaction tables","release-141","core","http","raw/chemistry-biology/rhea/141/rhea-tsv.tar.gz","https://ftp.expasy.org/databases/rhea/tsv/rhea-tsv.tar.gz","https://www.rhea-db.org/","CC-BY-4.0","allowed-with-attribution","attribution","Biochemical reactions and cross-references","local-sha256","Pin local hash because latest paths are mutable."
"rhea_sdf","chemistry-biology","Rhea reaction structures","release-141","core","http","raw/chemistry-biology/rhea/141/rhea.sdf.gz","https://ftp.expasy.org/databases/rhea/ctfiles/rhea.sdf.gz","https://www.rhea-db.org/","CC-BY-4.0","allowed-with-attribution","attribution","Reaction participants and structures","local-sha256","Release observed as 141 during research."
"biomodels_sbml","biology-models","BioModels published SBML archive","r31","core","http","raw/biology-models/biomodels/r31/BioModels_Database-r31_pub-sbml_files.tar.bz2","https://ftp.ebi.ac.uk/pub/databases/biomodels/releases/latest/BioModels_Database-r31_pub-sbml_files.tar.bz2","https://www.ebi.ac.uk/biomodels/termsofuse","CC0-1.0","allowed","permissive","Curated and submitted quantitative biological models in SBML","local-sha256","Latest legacy bulk release; newer BioStudies API should be added incrementally."
"uniprot_release_metadata","biology","UniProt current release integrity metadata","2026_02","core","http","raw/biology/uniprot/2026_02/RELEASE.metalink","https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/RELEASE.metalink","https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/","CC-BY-4.0","allowed-with-attribution","attribution","Release file sizes and hashes","local-sha256","Current reviewed release metadata."
"uniprot_sprot","biology","UniProtKB Swiss-Prot reviewed records","2026_02","core","http","raw/biology/uniprot/2026_02/uniprot_sprot.dat.gz","https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz","https://www.uniprot.org/help/license","CC-BY-4.0","allowed-with-attribution","attribution","Reviewed protein sequences, function, and annotations","upstream-metalink-and-local-sha256","Swiss-Prot only; the much larger TrEMBL corpus is deferred."
"rcsb_holdings","biology-3d","RCSB PDB current entry identifiers","current-2026-08-01","core","http","raw/biology-3d/rcsb-pdb/2026-08-01/entry_ids.json","https://data.rcsb.org/rest/v1/holdings/current/entry_ids","https://www.rcsb.org/docs/programmatic-access/file-download-services","CC0-1.0","allowed","permissive","Current PDB structure identifier catalog","local-sha256","Full structure files can be fetched on demand by identifier."
"rcsb_cca","biology-3d","RCSB chemical-component atom data","current-2026-08-01","core","http","raw/biology-3d/rcsb-pdb/2026-08-01/cca.bcif","https://models.rcsb.org/cca.bcif","https://www.rcsb.org/pages/usage-policy","CC0-1.0","allowed","permissive","Compact chemical component atom coordinates","local-sha256","Useful chemical-component geometry seed."
"rcsb_ccb","biology-3d","RCSB chemical-component bond data","current-2026-08-01","core","http","raw/biology-3d/rcsb-pdb/2026-08-01/ccb.bcif","https://models.rcsb.org/ccb.bcif","https://www.rcsb.org/pages/usage-policy","CC0-1.0","allowed","permissive","Compact chemical component bond data","local-sha256","Pairs with cca.bcif."
"jarvis_api_metadata","materials","JARVIS-DFT Figshare metadata","v11","core","http","raw/materials/jarvis-dft/v11/figshare-6815699-v11.json","https://api.figshare.com/v2/articles/6815699","https://figshare.com/articles/dataset/jdft_3d-7-7-2018_json/6815699","CC-BY-4.0","allowed-with-attribution","attribution","DOI, version, file sizes, and MD5 hashes","local-sha256","Resolves the current release without relying on an old convenience URL."
"jarvis_dft3d","materials","JARVIS-DFT 3D dataset","v11-file-2025-09-24","core","http","raw/materials/jarvis-dft/v11/jdft_3d-9-24-2025.json.zip","https://ndownloader.figshare.com/files/64391379","https://figshare.com/articles/dataset/jdft_3d-7-7-2018_json/6815699","CC-BY-4.0","allowed-with-attribution","attribution","75,000+ computed material structures and physical properties","md5-c3179161ef0d029cf1fa70da463aac6e-and-local-sha256","Current file reported by Figshare article v11 on 2026-08-01."
